	Aedaeg	Aedalb	Anofun	Anoste	Culpip	Culqui
Number of genes	14564	20305	12064	18812	16216	14983
Number of genes in orthogroups	14208	19556	11932	12080	15833	14666
Number of unassigned genes	356	749	132	6732	383	317
Percentage of genes in orthogroups	97.6	96.3	98.9	64.2	97.6	97.9
Percentage of unassigned genes	2.4	3.7	1.1	35.8	2.4	2.1
Number of orthogroups containing species	11138	11577	10539	10577	11476	11347
Percentage of orthogroups containing species	83.0	86.3	78.5	78.8	85.5	84.5
Number of species-specific orthogroups	33	259	13	75	57	42
Number of genes in species-specific orthogroups	86	1421	65	202	167	108
Percentage of genes in species-specific orthogroups	0.6	7.0	0.5	1.1	1.0	0.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2284	1845	2883	2845	1946	2075
'1	9620	9367	9984	9759	9641	10069
'2	1058	1399	368	621	1154	703
'3	210	260	65	90	290	230
'4	83	111	41	40	115	115
'5	60	80	22	19	74	69
'6	32	68	15	16	46	30
'7	15	33	10	5	31	34
'8	12	38	5	3	28	21
'9	9	26	2	5	16	18
'10	5	16	2	4	16	5
11-15	19	67	13	7	35	32
16-20	6	40	7	4	13	12
21-50	7	57	3	3	17	8
51-100	2	13	2	1	0	1
101-150	0	1	0	0	0	0
151-200	0	1	0	0	0	0
201-500	0	0	0	0	0	0
501-1000	0	0	0	0	0	0
'1001+	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	17.0	13.7	21.5	21.2	14.5	15.5
'1	71.7	69.8	74.4	72.7	71.8	75.0
'2	7.9	10.4	2.7	4.6	8.6	5.2
'3	1.6	1.9	0.5	0.7	2.2	1.7
'4	0.6	0.8	0.3	0.3	0.9	0.9
'5	0.4	0.6	0.2	0.1	0.6	0.5
'6	0.2	0.5	0.1	0.1	0.3	0.2
'7	0.1	0.2	0.1	0.0	0.2	0.3
'8	0.1	0.3	0.0	0.0	0.2	0.2
'9	0.1	0.2	0.0	0.0	0.1	0.1
'10	0.0	0.1	0.0	0.0	0.1	0.0
11-15	0.1	0.5	0.1	0.1	0.3	0.2
16-20	0.0	0.3	0.1	0.0	0.1	0.1
21-50	0.1	0.4	0.0	0.0	0.1	0.1
51-100	0.0	0.1	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0
'1	9620	9367	9984	9759	9641	10069
'2	2116	2798	736	1242	2308	1406
'3	630	780	195	270	870	690
'4	332	444	164	160	460	460
'5	300	400	110	95	370	345
'6	192	408	90	96	276	180
'7	105	231	70	35	217	238
'8	96	304	40	24	224	168
'9	81	234	18	45	144	162
'10	50	160	20	40	160	50
11-15	243	860	173	89	440	397
16-20	108	709	122	73	229	213
21-50	190	1756	96	74	494	232
51-100	145	810	114	78	0	56
101-150	0	126	0	0	0	0
151-200	0	169	0	0	0	0
201-500	0	0	0	0	0	0
501-1000	0	0	0	0	0	0
'1001+	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0
'1	66.1	46.1	82.8	51.9	59.5	67.2
'2	14.5	13.8	6.1	6.6	14.2	9.4
'3	4.3	3.8	1.6	1.4	5.4	4.6
'4	2.3	2.2	1.4	0.9	2.8	3.1
'5	2.1	2.0	0.9	0.5	2.3	2.3
'6	1.3	2.0	0.7	0.5	1.7	1.2
'7	0.7	1.1	0.6	0.2	1.3	1.6
'8	0.7	1.5	0.3	0.1	1.4	1.1
'9	0.6	1.2	0.1	0.2	0.9	1.1
'10	0.3	0.8	0.2	0.2	1.0	0.3
11-15	1.7	4.2	1.4	0.5	2.7	2.6
16-20	0.7	3.5	1.0	0.4	1.4	1.4
21-50	1.3	8.6	0.8	0.4	3.0	1.5
51-100	1.0	4.0	0.9	0.4	0.0	0.4
101-150	0.0	0.6	0.0	0.0	0.0	0.0
151-200	0.0	0.8	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0
